name,type,breed,age
Blue crane,Marie-thérèse,Anthropoides paradisea,308
"Woodpecker, red-headed",Mélina,Melanerpes erythrocephalus,309
"Magpie, australian",Lyséa,Gymnorhina tibicen,310
"Parrot, hawk-headed",Yáo,Deroptyus accipitrinus,311
Red meerkat,Bécassine,Cynictis penicillata,312
"Gecko, bent-toed",Médiamass,Cyrtodactylus louisiadensis,313
"Ringtail, common",Maëlann,Pseudocheirus peregrinus,314
Snowy sheathbill,Nadège,Chionis alba,315
"Coatimundi, white-nosed",Mà,Nasua narica,316
"Pelican, eastern white",Célestine,Pelecans onocratalus,317
Royal tern,Josée,Thalasseus maximus,318
"Gazelle, grant's",Sélène,Gazella granti,319
"Wallaby, tammar",Lóng,Macropus eugenii,320
Bare-faced go away bird,Clémentine,Lorythaixoides concolor,321
Caracal,Léa,Felis caracal,322
Blue duck,Annotés,Hymenolaimus malacorhynchus,323
Magnificent frigate bird,Mégane,Fregata magnificans,324
Eastern white pelican,Uò,Pelecans onocratalus,325
River wallaby,Célia,Macropus agilis,326
"Waxbill, violet-eared",Garçon,Uraeginthus granatina,327
"Squirrel, nelson ground",Véronique,Ammospermophilus nelsoni,328
American buffalo,Ophélie,Bison bison,329
South American sea lion,Maëlys,Otaria flavescens,330
"Eagle, bateleur",Méline,Terathopius ecaudatus,331
Jungle kangaroo,Görel,Macropus agilis,332
Grizzly bear,Frédérique,Ursus arctos,333
Blue-tongued skink,Illustrée,Tiliqua scincoides,334
Llama,Yè,Lama glama,335
"Sandpiper, spotted wood",Maëline,Tringa glareola,336
Hoffman's sloth,Salomé,Choloepus hoffmani,337
"Lizard, desert spiny",Angélique,Sceloporus magister,338
"Bandicoot, short-nosed",Märta,Isoodon obesulus,339
"Woodpecker, downy",Séréna,Picoides pubescens,340
"Mongoose, yellow",Adèle,Cynictis penicillata,341
Agouti,Bérengère,Dasyprocta leporina,342
Jaguar,Fèi,Panthera onca,343
African wild dog,Örjan,Lycaon pictus,344
Coke's hartebeest,Marie-françoise,Alcelaphus buselaphus cokii,345
Python (unidentified),Laurélie,unavailable,346
House sparrow,Eléa,Passer domesticus,347
"Hornbill, yellow-billed",Marie-hélène,Tockus flavirostris,348
White-rumped vulture,Mélinda,Gyps bengalensis,349
"Devil, tasmanian",Noëlla,Sarcophilus harrisii,350
Common seal,Måns,Phoca vitulina,351
Adouri (unidentified),Cléopatre,unavailable,352
Cape Barren goose,Méthode,Cereopsis novaehollandiae,353
"Squirrel, thirteen-lined",Maëlla,Spermophilus tridecemlineatus,354
"Ox, musk",Simplifiés,Ovibos moschatus,355
"Duck, comb",Méline,Sarkidornis melanotos,356
Feral rock pigeon,Táng,Columba livia,357
White-browed owl,Séréna,Ninox superciliaris,358
Southern brown bandicoot,Laurélie,Isoodon obesulus,359
Hippopotamus,Desirée,Hippopotamus amphibius,360
Mudskipper (unidentified),Liè,unavailable,361
"Owl, madagascar hawk",Salomé,Ninox superciliaris,362
"Eagle, bald",Andréa,Haliaeetus leucocephalus,363
Common boubou shrike,Maéna,Laniarius ferrugineus,364
Chacma baboon,Léonie,Papio ursinus,365
"Macaque, japanese",Garçon,Macaca fuscata,366
Boat-billed heron,Solène,Cochlearius cochlearius,367
Denham's bustard,Renée,Neotis denhami,368
Frilled lizard,Estée,Chlamydosaurus kingii,369
Eurasian beaver,Eléa,Castor fiber,370
Levaillant's barbet,Régine,Trachyphonus vaillantii,371
Snake (unidentified),Cinéma,unavailable,372
Goliath heron,Alizée,Ardea golieth,373
"Stilt, black-winged",Séverine,Himantopus himantopus,374
Turkey vulture,Laurène,Cathartes aura,375
White-fronted bee-eater,Séréna,Merops bullockoides,376
Eastern dwarf mongoose,Alizée,Helogale undulata,377
Giraffe,Léana,Giraffe camelopardalis,378
Southern right whale,Mén,Eubalaena australis,379
Wattled crane,Eloïse,Bugeranus caruncalatus,380
"Porcupine, prehensile-tailed",Marie-thérèse,Coendou prehensilis,381
"Pie, rufous tree",Bécassine,Dendrocitta vagabunda,382
Gerenuk,Anaëlle,Litrocranius walleri,383
"Cormorant, flightless",Kévina,Nannopterum harrisi,384
Hanuman langur,Göran,Semnopithecus entellus,385
Yellow-brown sungazer,Séréna,Cordylus giganteus,386
"Otter, oriental short-clawed",Hélèna,Aonyx cinerea,387
"Possum, western pygmy",Gösta,Cercatetus concinnus,388
"Pigeon, wood",Håkan,Columba palumbus,389
White-tailed jackrabbit,Dù,Lepus townsendii,390
Comb duck,Léone,Sarkidornis melanotos,391
Blue-tongued lizard,Clémentine,Tiliqua scincoides,392
Blue duck,Simplifiés,Hymenolaimus malacorhynchus,393
Snowy sheathbill,Gösta,Chionis alba,394
Red kangaroo,Bérangère,Macropus rufus,395
"Dove, laughing",Östen,Streptopelia senegalensis,396
"Hornbill, red-billed",Måns,Tockus erythrorhyncus,397
Darwin ground finch (unidentified),Gwenaëlle,Geospiza sp.,398
"Grouse, greater sage",Táng,Centrocercus urophasianus,399
Long-tailed spotted cat,Andréa,Felis wiedi or Leopardus weidi,400
"Sheep, red",Kévina,Ovis ammon,401
Common eland,Lèi,Taurotagus oryx,402
"Rhea, greater",Eléonore,Rhea americana,403
Silver-backed fox,Maëline,Vulpes chama,404
"Deer, swamp",Inès,Cervus duvauceli,405
Western bearded dragon,Thérèse,Amphibolurus barbatus,406
Asian lion,Mélinda,Panthera leo persica,407
"Rhea, common",Styrbjörn,Rhea americana,408
"Armadillo, nine-banded",Yóu,Dasypus novemcinctus,409
Brown hyena,Ruì,Hyaena brunnea,410
Dromedary camel,André,Camelus dromedarius,411
King vulture,Mélanie,Sarcorhamphus papa,412
"Owl, white-browed",Félicie,Ninox superciliaris,413
"Sheep, stone",Andréanne,Ovis dalli stonei,414
"Stork, jabiru",Mylène,Ephippiorhynchus mycteria,415
"Cat, kaffir",Mélia,Felis silvestris lybica,416
Swallow-tail gull,Béatrice,Creagrus furcatus,417
"Dragon, komodo",Andrée,Varanus komodensis,418
"Deer, spotted",Annotés,Axis axis,419
"Shark, blue",Desirée,Prionace glauca,420
"Macaque, japanese",Marie-noël,Macaca fuscata,421
Blue duck,Léonore,Hymenolaimus malacorhynchus,422
"Wallaby, euro",Médiamass,Macropus robustus,423
Arboral spiny rat,Mén,Echimys chrysurus,424
Marabou stork,Illustrée,Leptoptilos crumeniferus,425
"Lion, asian",Lorène,Panthera leo persica,426
Crab-eating fox,Mélia,Dusicyon thous,427
Tailless tenrec,Gisèle,Tenrec ecaudatus,428
European wild cat,Wá,Felis silvestris lybica,429
"Gazelle, thomson's",Josée,Gazella thompsonii,430
Eagle owl (unidentified),Yóu,Bubo sp.,431
American buffalo,Ruì,Bison bison,432
Burmese black mountain tortoise,Ruì,Manouria emys,433
Lily trotter,Maïlis,Actophilornis africanus,434
Black-capped capuchin,Océane,Cebus apella,435
White spoonbill,Styrbjörn,Platalea leucordia,436
Red-breasted cockatoo,Publicité,Eolophus roseicapillus,437
Cottonmouth,Judicaël,Agkistrodon piscivorus,438
Springbok,Marie-ève,Antidorcas marsupialis,439
Cereopsis goose,André,Cereopsis novaehollandiae,440
Jungle cat,Anaïs,Felis chaus,441
Tiger,Anaëlle,Panthera tigris,442
Prairie falcon,Ruì,Falco mexicanus,443
Marabou stork,Nuó,Leptoptilos crumeniferus,444
"Bleu, red-cheeked cordon",Eloïse,Uraeginthus bengalus,445
Black-fronted bulbul,Maëline,Pycnonotus nigricans,446
"Weaver, white-browed sparrow",Anaïs,Plocepasser mahali,447
"Lizard, mexican beaded",Judicaël,Heloderma horridum,448
Eastern quoll,Wá,Dasyurus viverrinus,449
Southern sea lion,Eléa,Otaria flavescens,450
"Grenadier, common",Garçon,Uraeginthus granatina,451
"Mouse, four-striped grass",Gwenaëlle,Rhabdomys pumilio,452
Great white pelican,Börje,Pelecans onocratalus,453
Giant armadillo,Anaé,Priodontes maximus,454
Little grebe,Lèi,Tachybaptus ruficollis,455
"Sparrow, house",Annotée,Passer domesticus,456
"Cat, european wild",Almérinda,Felis silvestris lybica,457
Red-winged blackbird,Maïlys,Agelaius phoeniceus,458
Eagle owl (unidentified),Eléonore,Bubo sp.,459
Chameleon (unidentified),Salomé,Chamaelo sp.,460
"Snake, racer",Laurène,Coluber constrictor,461
Barking gecko,Mårten,Phylurus milli,462
"Pelican, brown",Styrbjörn,Pelecanus occidentalis,463
Bengal vulture,Mylène,Gyps bengalensis,464
Common palm civet,Maëlann,Paradoxurus hermaphroditus,465
"Flamingo, lesser",Ráo,Phoeniconaias minor,466
Little heron,Maëlyss,Butorides striatus,467
"Wapiti, elk,",Méthode,Cervus canadensis,468
"Gorilla, western lowland",Estève,Gorilla gorilla,469
"Cockatoo, red-breasted",Mélodie,Eolophus roseicapillus,470
Lesser flamingo,Judicaël,Phoeniconaias minor,471
"Otter, north american river",Zoé,Lutra canadensis,472
Dama wallaby,Mélanie,Macropus eugenii,473
"Bear, black",Naëlle,Ursus americanus,474
Paca,Åsa,Agouti paca,475
"Shelduck, european",Léa,Tadorna tadorna,476
Agouti,Håkan,Dasyprocta leporina,477
"Otter, brazilian",Personnalisée,Pteronura brasiliensis,478
"Otter, brazilian",Régine,Pteronura brasiliensis,479
South American puma,Hélène,Felis concolor,480
African lynx,Styrbjörn,Felis caracal,481
"Legaan, water",Marie-josée,Varanus salvator,482
Burrowing owl,Dafnée,Speotyte cuniculata,483
Indian leopard,Estée,Panthera pardus,484
"Echidna, short-beaked",Anaïs,Tachyglossus aculeatus,485
Great white pelican,Rachèle,Pelecans onocratalus,486
"Lizard, frilled",Géraldine,Chlamydosaurus kingii,487
"Langur, hanuman",Garçon,Semnopithecus entellus,488
Brown lemur,Maëlla,Lemur fulvus,489
"Cat, ringtail",Mårten,Bassariscus astutus,490
"Plover, three-banded",Loïs,Charadrius tricollaris,491
"Eagle, golden",Marie-ève,Aquila chrysaetos,492
Canada goose,Zoé,Branta canadensis,493
"Heron, boat-billed",Audréanne,Cochlearius cochlearius,494
"Possum, golden brush-tailed",Personnalisée,Trichosurus vulpecula,495
North American red fox,Vénus,Vulpes vulpes,496
Bat-eared fox,Wá,Otocyon megalotis,497
"Swan, black",Marie-ève,Cygnus atratus,498
Gray duiker,Lóng,Sylvicapra grimma,499
"Lemur, brown",Märta,Lemur fulvus,500
