name,type,breed,age
Paca,Agouti paca,Ammospermophilus nelsoni,72
Crowned eagle,Spizaetus coronatus,Morelia spilotes variegata,73
Pine squirrel,Tamiasciurus hudsonicus,Ovis ammon,74
Red-cheeked cordon bleu,Uraeginthus bengalus,Chauna torquata,75
White-tailed deer,Odocoilenaus virginianus,Myiarchus tuberculifer,76
"Tern, arctic",Sterna paradisaea,Larus fuliginosus,77
"Phascogale, red-tailed",Phascogale calura,Philetairus socius,78
Crimson-breasted shrike,Laniaurius atrococcineus,Sarkidornis melanotos,79
"Reedbuck, bohor",Redunca redunca,Anastomus oscitans,80
"Stork, white-necked",Ciconia episcopus,Tadorna tadorna,81
Large cormorant,Phalacrocorax carbo,Grus rubicundus,82
Woodchuck,Marmota monax,Centrocercus urophasianus,83
Osprey,Pandon haliaetus,Charadrius tricollaris,84
"Wallaby, whip-tailed",Macropus parryi,Alligator mississippiensis,85
Indian star tortoise,Geochelone elegans,Vanessa indica,86
South American sea lion,Otaria flavescens,Pseudalopex gymnocercus,87
Raccoon dog,Nyctereutes procyonoides,Caiman crocodilus,88
"Gull, lava",Larus fuliginosus,Semnopithecus entellus,89
"Raven, white-necked",Corvus albicollis,Sciurus vulgaris,90
"Thrasher, curve-billed",Toxostoma curvirostre,Zonotrichia capensis,91
"Mynah, indian",Acridotheres tristis,Sarcophilus harrisii,92
"Fox, savanna",Dusicyon thous,Otaria flavescens,93
"Skunk, striped",Mephitis mephitis,Notechis semmiannulatus,94
Common langur,Semnopithecus entellus,Delphinus delphis,95
"Lion, steller sea",Eumetopias jubatus,Canis lupus lycaon,96
"Quoll, eastern",Dasyurus viverrinus,Psophia viridis,97
"Flycatcher, tyrant",Myiarchus tuberculifer,Equus burchelli,98
Brown and yellow marshbird,Pseudoleistes virescens,Castor fiber,99
"Grouse, greater sage",Centrocercus urophasianus,Nannopterum harrisi,100
"Openbill, asian",Anastomus oscitans,Bucorvus leadbeateri,101
"Bat, little brown",Myotis lucifugus,Sylvilagus floridanus,102
"Bird, pied butcher",Cracticus nigroagularis,Dendrocitta vagabunda,103
"Eagle, african fish",Haliaetus vocifer,Mazama americana,104
Tropical buckeye butterfly,Junonia genoveua,Cacatua tenuirostris,105
"Sandpiper, spotted wood",Tringa glareola,Hippopotamus amphibius,106
"Wolf, mexican",Canis lupus baileyi,Gyps bengalensis,107
Jaguar,Panthera onca,Lamprotornis superbus,108
Secretary bird,Sagittarius serpentarius,Alcelaphus buselaphus cokii,109
"Monkey, vervet",Cercopithecus aethiops,Otaria flavescens,110
"Alligator, american",Alligator mississippiensis,Oryx gazella callotis,111
"Crane, black-crowned",Balearica pavonina,Panthera leo persica,112
Canadian river otter,Lutra canadensis,Genetta genetta,113
Greylag goose,Anser anser,Caiman crocodilus,114
Tropical buckeye butterfly,Junonia genoveua,Microcebus murinus,115
Swallow (unidentified),unavailable,Spheniscus magellanicus,116
Cattle egret,Bubulcus ibis,Trichoglossus chlorolepidotus,117
Gray langur,Semnopithecus entellus,Cervus elaphus,118
"Waxbill, violet-eared",Uraeginthus granatina,Tragelaphus strepsiceros,119
"Butterfly, canadian tiger swallowtail",Papilio canadensis,Ardea golieth,120
"Egret, snowy",Egretta thula,Redunca redunca,121
Sockeye salmon,Oncorhynchus nerka,Canis lupus lycaon,122
Pacific gull,Gabianus pacificus,Odocoileus hemionus,123
"Marten, american",Martes americana,Fregata magnificans,124
Thomson's gazelle,Gazella thompsonii,Lepus townsendii,125
Bald eagle,Haliaeetus leucocephalus,Spermophilus parryii,126
"Screamer, crested",Chauna torquata,Ctenophorus ornatus,127
Blue peacock,Pavo cristatus,Bettongia penicillata,128
"Spoonbill, european",Platalea leucordia,Macropus rufus,129
Russian dragonfly,Libellula quadrimaculata,Dicrurus adsimilis,130
Black-throated cardinal,Paroaria gularis,Snycerus caffer,131
"Godwit, hudsonian",Limosa haemastica,Mirounga angustirostris,132
"Boubou, southern",Laniarius ferrugineus,Neophoca cinerea,133
"Bustard, denham's",Neotis denhami,Eudyptula minor,134
"Pie, rufous tree",Dendrocitta vagabunda,Ramphastos tucanus,135
"Boa, mexican",Boa constrictor mexicana,Theropithecus gelada,136
"Dragon, netted rock",Ctenophorus ornatus,Spizaetus coronatus,137
"Owl, australian masked",Tyto novaehollandiae,Corallus hortulanus cooki,138
Zorilla,Ictonyx striatus,Eubalaena australis,139
Hoffman's sloth,Choloepus hoffmani,Dendrocygna viduata,140
Tayra,Eira barbata,Priodontes maximus,141
Chameleon (unidentified),Chamaelo sp.,Spheniscus magellanicus,142
Sarus crane,Grus antigone,Eolophus roseicapillus,143
"Fox, blue",Alopex lagopus,Pteropus rufus,144
Common turkey,Meleagris gallopavo,Echimys chrysurus,145
Long-nosed bandicoot,Perameles nasuta,Choriotis kori,146
White-mantled colobus,Colobus guerza,Equus burchelli,147
Ring-tailed gecko,Cyrtodactylus louisiadensis,Cervus unicolor,148
Striped skunk,Mephitis mephitis,Stercorarius longicausus,149
"Lion, australian sea",Neophoca cinerea,Eolophus roseicapillus,150
Ringtail,Bassariscus astutus,Tauraco porphyrelophus,151
"Flamingo, greater",Phoenicopterus ruber,Tachyglossus aculeatus,152
Malagasy ground boa,Acrantophis madagascariensis,Spilogale gracilis,153
"Alligator, american",Alligator mississippiensis,Dendrocitta vagabunda,154
Osprey,Pandon haliaetus,unavailable,155
Galapagos mockingbird,Nesomimus trifasciatus,Climacteris melanura,156
Red-tailed wambenger,Phascogale calura,Phascogale calura,157
Horned puffin,Fratercula corniculata,Arctogalidia trivirgata,158
"Bustard, kori",Choriotis kori,Francolinus swainsonii,159
Madagascar fruit bat,Pteropus rufus,Antechinus flavipes,160
Sun gazer,Cordylus giganteus,Ploceus intermedius,161
"Tenrec, tailless",Tenrec ecaudatus,Tyto novaehollandiae,162
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Vulpes cinereoargenteus,163
"Tern, arctic",Sterna paradisaea,Caiman crocodilus,164
"Bat, asian false vampire",Megaderma spasma,Corvus albus,165
"Sloth, pale-throated three-toed",Bradypus tridactylus,Alopochen aegyptiacus,166
"Gorilla, western lowland",Gorilla gorilla,Loris tardigratus,167
Mouflon,Ovis musimon,Eudyptula minor,168
Impala,Aepyceros mylampus,Anhinga rufa,169
"Nutcracker, clark's",Nucifraga columbiana,Anas bahamensis,170
Clark's nutcracker,Nucifraga columbiana,Crotalus adamanteus,171
Azara's zorro,Pseudalopex gymnocercus,Naja nivea,172
Indian leopard,Panthera pardus,Damaliscus dorcas,173
Sage hen,Centrocercus urophasianus,Lamprotornis nitens,174
"Macaw, green-winged",Ara chloroptera,Paraxerus cepapi,175
"Lorikeet, scaly-breasted",Trichoglossus chlorolepidotus,Ara ararauna,176
"Fox, silver-backed",Vulpes chama,Papilio canadensis,177
Tsessebe,Damaliscus lunatus,Limosa haemastica,178
Yellow baboon,Papio cynocephalus,Melanerpes erythrocephalus,179
Greater adjutant stork,Leptoptilus dubius,Coluber constrictor,180
Australian masked owl,Tyto novaehollandiae,Thamnolaea cinnmomeiventris,181
"Meerkat, red",Cynictis penicillata,Canis mesomelas,182
Sage grouse,Centrocercus urophasianus,Chlidonias leucopterus,183
"Colobus, magistrate black",Colobus guerza,Myiarchus tuberculifer,184
African jacana,Actophilornis africanus,Laniaurius atrococcineus,185
Vervet monkey,Cercopithecus aethiops,Ploceus intermedius,186
"Goldeneye, barrows",Bucephala clangula,Merops bullockoides,187
African black crake,Limnocorax flavirostra,Leipoa ocellata,188
Striped dolphin,Stenella coeruleoalba,Himantopus himantopus,189
Dusky rattlesnake,Crotalus triseriatus,Tragelaphus angasi,190
Western lowland gorilla,Gorilla gorilla,Pitangus sulphuratus,191
Two-toed tree sloth,Choloepus hoffmani,Axis axis,192
Fork-tailed drongo,Dicrurus adsimilis,Acrantophis madagascariensis,193
Ring-necked pheasant,Phasianus colchicus,Coendou prehensilis,194
Sambar,Cervus unicolor,Chlamydosaurus kingii,195
Dabchick,Tachybaptus ruficollis,Antilocapra americana,196
Pied cormorant,Phalacrocorax varius,Carduelis pinus,197
Openbill stork,Anastomus oscitans,Myrmecobius fasciatus,198
Capybara,Hydrochoerus hydrochaeris,Oncorhynchus nerka,199
Greater roadrunner,Geococcyx californianus,Cebus nigrivittatus,200
"Seal, common",Phoca vitulina,Ceryle rudis,201
Gelada baboon,Theropithecus gelada,Lycaon pictus,202
Tropical buckeye butterfly,Junonia genoveua,Paroaria gularis,203
"Weaver, chestnut",Ploceus rubiginosus,Trichoglossus haematodus moluccanus,204
"Pheasant, ring-necked",Phasianus colchicus,Ictalurus furcatus,205
White-throated monitor,Varanus albigularis,Xerus sp.,206
"Wolf, mexican",Canis lupus baileyi,Melophus lathami,207
"Brocket, brown",Mazama gouazoubira,Ephippiorhynchus mycteria,208
Potoroo,Potorous tridactylus,Lutra canadensis,209
"Beaver, american",Castor canadensis,Phascogale calura,210
"Snake, green vine",Oxybelis fulgidus,Bubo virginianus,211
Cape clawless otter,Aonyx capensis,Leptoptilos crumeniferus,212
Long-necked turtle,Chelodina longicollis,Epicrates cenchria maurus,213
"Wallaby, red-necked",Macropus rufogriseus,Spizaetus coronatus,214
"Beaver, eurasian",Castor fiber,Canis aureus,215
Genoveva,Junonia genoveua,Phalaropus fulicarius,216
"Gnu, brindled",Connochaetus taurinus,Raphicerus campestris,217
"Skunk, western spotted",Spilogale gracilis,Chauna torquata,218
Crested screamer,Chauna torquata,Phasianus colchicus,219
Pallas's fish eagle,Haliaeetus leucoryphus,Mycteria ibis,220
Seven-banded armadillo,Dasypus septemcincus,Larus dominicanus,221
"Baboon, gelada",Theropithecus gelada,Vulpes vulpes,222
Levaillant's barbet,Trachyphonus vaillantii,Choriotis kori,223
"Otter, north american river",Lutra canadensis,Phasianus colchicus,224
"Squirrel, uinta ground",Spermophilus armatus,Limosa haemastica,225
Elegant crested tinamou,Eudromia elegans,Ursus maritimus,226
"Snake, racer",Coluber constrictor,Eunectes sp.,227
Black-tailed prairie dog,Cynomys ludovicianus,Colaptes campestroides,228
African ground squirrel (unidentified),Xerus sp.,Hystrix cristata,229
"Cobra, egyptian",Naja haje,Larus novaehollandiae,230
"Alligator, american",Alligator mississippiensis,Manouria emys,231
"Stork, yellow-billed",Mycteria ibis,Semnopithecus entellus,232
Frog (unidentified),Rana sp.,Phalaropus fulicarius,233
Striped hyena,Hyaena hyaena,Nucifraga columbiana,234
Urial,Ovis orientalis,Salvadora hexalepis,235
Seven-banded armadillo,Dasypus septemcincus,Tauraco porphyrelophus,236
"Rat, white-faced tree",Echimys chrysurus,Vombatus ursinus,237
"Cat, tiger",Dasyurus maculatus,Corvus brachyrhynchos,238
Ring-tailed coatimundi,Nasua nasua,Mazama gouazoubira,239
"Moorhen, purple",Porphyrio porphyrio,Grus antigone,240
Euro wallaby,Macropus robustus,Thamnolaea cinnmomeiventris,241
"Porcupine, african",Hystrix cristata,Spermophilus tridecemlineatus,242
"Starling, cape",Lamprotornis nitens,Eolophus roseicapillus,243
"Bear, grizzly",Ursus arctos,Meles meles,244
"Stork, white",Ciconia ciconia,Gyps fulvus,245
Tawny eagle,Anitibyx armatus,Choriotis kori,246
"Fox, arctic",Alopex lagopus,Lophoaetus occipitalis,247
Pig-tailed macaque,Macaca nemestrina,Phoenicopterus ruber,248
"Toucan, red-billed",Ramphastos tucanus,Prionace glauca,249
Monitor lizard (unidentified),Varanus sp.,Cebus nigrivittatus,250
"Deer, barasingha",Cervus duvauceli,Eumetopias jubatus,251
Common langur,Semnopithecus entellus,Crocuta crocuta,252
"Squirrel, european red",Sciurus vulgaris,Macropus eugenii,253
Southern lapwing,Vanellus chilensis,Zenaida galapagoensis,254
"Squirrel, eastern fox",Sciurus niger,Coluber constrictor,255
Yellow-billed stork,Mycteria ibis,Bucephala clangula,256
"Goose, greylag",Anser anser,Choriotis kori,257
South American meadowlark (unidentified),unavailable,Haliaeetus leucoryphus,258
"Boa, malagasy ground",Acrantophis madagascariensis,Ara ararauna,259
Red-cheeked cordon bleu,Uraeginthus bengalus,Aonyx cinerea,260
"Monitor, white-throated",Varanus albigularis,Psophia viridis,261
Dusky rattlesnake,Crotalus triseriatus,Tenrec ecaudatus,262
Aardwolf,Proteles cristatus,Morelia spilotes variegata,263
"Pie, indian tree",Dendrocitta vagabunda,Butorides striatus,264
Cheetah,Acinynox jubatus,Tadorna tadorna,265
Snake (unidentified),unavailable,Dasyurus viverrinus,266
Stanley bustard,Neotis denhami,Ephipplorhynchus senegalensis,267
Little brown bat,Myotis lucifugus,Geochelone elephantopus,268
Blue and yellow macaw,Ara ararauna,unavailable,269
"Lion, steller's sea",Eumetopias jubatus,Herpestes javanicus,270
Four-horned antelope,Tetracerus quadricornis,Turtur chalcospilos,271
Radiated tortoise,Geochelone radiata,Cercatetus concinnus,272
Pampa gray fox,Pseudalopex gymnocercus,Gazella granti,273
Common dolphin,Delphinus delphis,Lutra canadensis,274
Cuis,Microcavia australis,Microcebus murinus,275
"Cormorant, king",Phalacrocorax albiventer,Castor canadensis,276
Indian peacock,Pavo cristatus,Macropus giganteus,277
Greater kudu,Tragelaphus strepsiceros,Cacatua tenuirostris,278
"Tortoise, desert",Gopherus agassizii,Nasua nasua,279
"Finch, common melba",Pytilia melba,Coluber constrictor,280
"Porcupine, prehensile-tailed",Coendou prehensilis,Sitta canadensis,281
Red sheep,Ovis ammon,Cervus duvauceli,282
"Snake, eastern indigo",Drymarchon corias couperi,Ursus arctos,283
Eurasian beaver,Castor fiber,Zosterops pallidus,284
Arboral spiny rat,Echimys chrysurus,Connochaetus taurinus,285
"Egret, great",Casmerodius albus,Phalacrocorax albiventer,286
"Grebe, little",Tachybaptus ruficollis,Tauraco porphyrelophus,287
"Stilt, black-winged",Himantopus himantopus,Sula dactylatra,288
Tokay gecko,Gekko gecko,Larus novaehollandiae,289
"Peacock, blue",Pavo cristatus,Alces alces,290
"Heron, giant",Ardea golieth,Bucephala clangula,291
"Lion, australian sea",Neophoca cinerea,Acanthaster planci,292
"Toucan, white-throated",Ramphastos tucanus,Alcelaphus buselaphus cokii,293
African snake (unidentified),unavailable,Speothos vanaticus,294
"Siskin, pine",Carduelis pinus,Pelecanus occidentalis,295
Black-necked stork,Ephippiorhynchus mycteria,Cebus nigrivittatus,296
"Fox, cape",Vulpes chama,Pelecans onocratalus,297
Laughing kookaburra,Dacelo novaeguineae,Echimys chrysurus,298
Common pheasant,Phasianus colchicus,Globicephala melas,299
"Raven, cape",Corvus albicollis,Catharacta skua,300
"Goose, andean",Chloephaga melanoptera,Eubalaena australis,301
Russian dragonfly,Libellula quadrimaculata,Phalacrocorax albiventer,302
"Squirrel, grey-footed",Paraxerus cepapi,Funambulus pennati,303
Tayra,Eira barbata,Alouatta seniculus,304
Blue peacock,Pavo cristatus,Meleagris gallopavo,305
"Snake, racer",Coluber constrictor,Pavo cristatus,306
"Fox, north american red",Vulpes vulpes,Vulpes chama,307
"Deer, white-tailed",Odocoilenaus virginianus,Estrilda erythronotos,308
Toddy cat,Paradoxurus hermaphroditus,Aonyx capensis,309
Cheetah,Acinynox jubatus,Phalaropus lobatus,310
Prairie falcon,Falco mexicanus,Bucephala clangula,311
Hippopotamus,Hippopotamus amphibius,Falco mexicanus,312
Lizard (unidentified),unavailable,Cordylus giganteus,313
Tawny eagle,Anitibyx armatus,Phalaropus fulicarius,314
"Duck, mountain",Hymenolaimus malacorhynchus,Cygnus buccinator,315
"Heron, giant",Ardea golieth,Felis concolor,316
"Sloth, pale-throated three-toed",Bradypus tridactylus,Spermophilus tridecemlineatus,317
Savanna baboon,Papio cynocephalus,Hystrix indica,318
Giant heron,Ardea golieth,Hippotragus niger,319
"Vulture, egyptian",Neophron percnopterus,Geococcyx californianus,320
Southern screamer,Chauna torquata,Ratufa indica,321
Galapagos mockingbird,Nesomimus trifasciatus,Lasiodora parahybana,322
European spoonbill,Platalea leucordia,Stercorarius longicausus,323
Southern tamandua,Tamandua tetradactyla,Antilocapra americana,324
"Dove, rock",Columba livia,Varanus komodensis,325
"Screamer, crested",Chauna torquata,Picoides pubescens,326
Cape cobra,Naja nivea,Ciconia episcopus,327
Springhare,Pedetes capensis,unavailable,328
"Bustard, kori",Choriotis kori,Francolinus coqui,329
"Nuthatch, red-breasted",Sitta canadensis,Sciurus vulgaris,330
Springbuck,Antidorcas marsupialis,Bucephala clangula,331
"Rhea, greater",Rhea americana,Sylvilagus floridanus,332
"Otter, oriental short-clawed",Aonyx cinerea,Trichosurus vulpecula,333
Coqui francolin,Francolinus coqui,Ovis ammon,334
Red-billed buffalo weaver,Bubalornis niger,Canis lupus,335
Common nighthawk,Chordeiles minor,Crotalus cerastes,336
"Deer, barasingha",Cervus duvauceli,Martes pennanti,337
"Penguin, fairy",Eudyptula minor,Melanerpes erythrocephalus,338
Dusky gull,Larus fuliginosus,Macropus agilis,339
"Plover, three-banded",Charadrius tricollaris,Fregata magnificans,340
Red phalarope,Phalaropus fulicarius,Theropithecus gelada,341
Mountain goat,Oreamnos americanus,Cyrtodactylus louisiadensis,342
"Monkey, rhesus",Macaca mulatta,Catharacta skua,343
Greater adjutant stork,Leptoptilus dubius,Pitangus sulphuratus,344
Tasmanian devil,Sarcophilus harrisii,Dendrocitta vagabunda,345
"Crow, american",Corvus brachyrhynchos,Equus burchelli,346
"Monkey, vervet",Cercopithecus aethiops,Mazama gouazoubira,347
Marine iguana,Amblyrhynchus cristatus,Conolophus subcristatus,348
Blacksmith plover,Vanellus armatus,Philetairus socius,349
"Pelican, eastern white",Pelecans onocratalus,Thamnolaea cinnmomeiventris,350
Red phalarope,Phalaropus fulicarius,Conolophus subcristatus,351
"Cobra, cape",Naja nivea,Theropithecus gelada,352
"Kookaburra, laughing",Dacelo novaeguineae,Connochaetus taurinus,353
Yellow-bellied marmot,Marmota flaviventris,Connochaetus taurinus,354
Woylie,Bettongia penicillata,Ursus americanus,355
"Bulbul, black-eyed",Pycnonotus barbatus,Merops bullockoides,356
Crab (unidentified),unavailable,Egretta thula,357
"Cormorant, javanese",Phalacrocorax niger,Odocoileus hemionus,358
"Heron, gray",Ardea cinerea,Spilogale gracilis,359
Superb starling,Lamprotornis superbus,Galago crassicaudataus,360
Bird (unidentified),unavailable,Rhea americana,361
"Cat, miner's",Bassariscus astutus,Sylvilagus floridanus,362
"Porcupine, tree",Coendou prehensilis,Trichoglossus chlorolepidotus,363
Common seal,Phoca vitulina,Vulpes cinereoargenteus,364
Tsessebe,Damaliscus lunatus,Felis silvestris lybica,365
White-throated kingfisher,Halcyon smyrnesis,Ammospermophilus nelsoni,366
Southern right whale,Eubalaena australis,Laniarius ferrugineus,367
Black kite,Milvus migrans,Perameles nasuta,368
"Capuchin, white-fronted",Cebus albifrons,Oxybelis fulgidus,369
"Macaque, rhesus",Macaca mulatta,Uraeginthus granatina,370
"Lion, australian sea",Neophoca cinerea,Kobus defassa,371
"Dolphin, common",Delphinus delphis,Procyon lotor,372
"Darter, african",Anhinga rufa,Mazama gouazoubira,373
"Cat, jungle",Felis chaus,Zalophus californicus,374
"Bird, secretary",Sagittarius serpentarius,Alcelaphus buselaphus caama,375
"Legaan, water",Varanus salvator,Potamochoerus porcus,376
Black-capped chickadee,Parus atricapillus,Ourebia ourebi,377
"Jackrabbit, white-tailed",Lepus townsendii,unavailable,378
"Goose, cape barren",Cereopsis novaehollandiae,Ara ararauna,379
"Rattlesnake, eastern diamondback",Crotalus adamanteus,Canis lupus lycaon,380
"Stork, white-necked",Ciconia episcopus,Diomedea irrorata,381
"Tenrec, tailless",Tenrec ecaudatus,Larus fuliginosus,382
European wild cat,Felis silvestris lybica,Eubalaena australis,383
Sacred ibis,Threskionis aethiopicus,Graspus graspus,384
"Cat, tiger",Dasyurus maculatus,Pycnonotus barbatus,385
"Coatimundi, ring-tailed",Nasua nasua,Anthropoides paradisea,386
"Creeper, black-tailed tree",Climacteris melanura,Ceratotherium simum,387
Blue duck,Hymenolaimus malacorhynchus,Charadrius tricollaris,388
"Baboon, gelada",Theropithecus gelada,Cereopsis novaehollandiae,389
Cheetah,Acinynox jubatus,Dacelo novaeguineae,390
"Thrasher, curve-billed",Toxostoma curvirostre,Epicrates cenchria maurus,391
"Blackbird, red-winged",Agelaius phoeniceus,Cervus canadensis,392
Roseat flamingo,Phoenicopterus ruber,Phalacrocorax albiventer,393
"Fox, grey",Vulpes cinereoargenteus,Choriotis kori,394
Galapagos tortoise,Geochelone elephantopus,unavailable,395
Stick insect,Leprocaulinus vipera,Mazama americana,396
"Shrike, crimson-breasted",Laniaurius atrococcineus,Neotis denhami,397
"Fox, north american red",Vulpes vulpes,Mirounga leonina,398
Arboral spiny rat,Echimys chrysurus,Zosterops pallidus,399
American marten,Martes americana,Uraeginthus granatina,400
"Sheep, red",Ovis ammon,Pseudoleistes virescens,401
"Dog, black-tailed prairie",Cynomys ludovicianus,Dendrocygna viduata,402
"Sunbird, lesser double-collared",Nectarinia chalybea,Lamprotornis superbus,403
Greater adjutant stork,Leptoptilus dubius,Meleagris gallopavo,404
"Stork, marabou",Leptoptilos crumeniferus,Naja nivea,405
Pied butcher bird,Cracticus nigroagularis,Meleagris gallopavo,406
"Cliffchat, mocking",Thamnolaea cinnmomeiventris,Tauraco porphyrelophus,407
"Iguana, marine",Amblyrhynchus cristatus,Canis aureus,408
Eagle owl (unidentified),Bubo sp.,Merops nubicus,409
"Porcupine, tree",Coendou prehensilis,Ara chloroptera,410
"Possum, golden brush-tailed",Trichosurus vulpecula,Drymarchon corias couperi,411
Black-tailed deer,Odocoileus hemionus,Cercatetus concinnus,412
Pied butcher bird,Cracticus nigroagularis,Crotalus cerastes,413
"Capuchin, weeper",Cebus nigrivittatus,Cebus apella,414
"Mynah, indian",Acridotheres tristis,Trachyphonus vaillantii,415
European badger,Meles meles,Gyps bengalensis,416
"Pheasant, ring-necked",Phasianus colchicus,Canis latrans,417
"Cobra, egyptian",Naja haje,Ara chloroptera,418
"Spurfowl, yellow-necked",Francolinus leucoscepus,Plegadis falcinellus,419
Curve-billed thrasher,Toxostoma curvirostre,Cynictis penicillata,420
Large cormorant,Phalacrocorax carbo,Mirounga leonina,421
Grey-footed squirrel,Paraxerus cepapi,Nyctea scandiaca,422
"Quoll, spotted-tailed",Dasyurus maculatus,Coluber constrictor,423
Scarlet macaw,Ara macao,Psophia viridis,424
Jungle cat,Felis chaus,Bassariscus astutus,425
Coke's hartebeest,Alcelaphus buselaphus cokii,Iguana iguana,426
"Eagle, pallas's fish",Haliaeetus leucoryphus,Pterocles gutturalis,427
Roan antelope,Hippotragus equinus,Papio ursinus,428
Lizard (unidentified),unavailable,Varanus sp.,429
Collared lemming,Dicrostonyx groenlandicus,Tapirus terrestris,430
"Heron, gray",Ardea cinerea,Creagrus furcatus,431
"Pelican, eastern white",Pelecans onocratalus,Coendou prehensilis,432
"Gecko, barking",Phylurus milli,Columba palumbus,433
Common rhea,Rhea americana,Bassariscus astutus,434
Square-lipped rhinoceros,Ceratotherium simum,Stercorarius longicausus,435
Eagle owl (unidentified),Bubo sp.,Hyaena hyaena,436
Argalis,Ovis ammon,Deroptyus accipitrinus,437
Little cormorant,Phalacrocorax niger,Lamprotornis superbus,438
Eurasian badger,Meles meles,Delphinus delphis,439
